            lat        lon
828   40.126924  67.835822
542   40.127780  65.183838
1175  40.131238  64.506624
1341  40.132084  65.350370
893   40.135443  65.248195
679   40.136569  67.816989
1223  40.138238  67.822944
545   40.139886  67.830517
801   40.144180  67.818239
1014  40.144792  65.303156
35    40.147565  65.352821
543   40.147654  65.346189
874   40.152059  65.343466
1017  40.153092  67.822933
1301  40.156845  67.827775
1253  40.156999  67.831992
157   40.157328  67.828690
8     40.157332  67.828656
124   40.158948  67.831441
103   40.159108  67.831206
1133  40.161550  67.732100
758   40.168220  68.611655
1217  40.168387  67.844060
342   40.169587  67.845759
837   40.170310  67.846199
294   40.174750  67.852111
36    40.178093  64.931896
108   40.188060  65.360681
610   40.188368  65.249554
920   40.191942  67.881118
355   40.207421  65.332292
1091  40.215908  67.920944
789   40.221231  69.189149
138   40.221833  68.824139
905   40.222387  69.187583
886   40.222409  68.824801
1214  40.222590  65.314834
264   40.222605  69.269354
897   40.223584  69.132184
410   40.224844  68.839833
478   40.228125  68.835283
602   40.228570  65.385905
989   40.229110  69.271986
917   40.235663  69.269871
1306  40.247736  68.888143
1067  40.259685  68.484128
1292  40.260203  67.640258
1334  40.262006  68.809089
1302  40.267927  68.033488
687   40.268369  65.163212
915   40.272557  68.786615
835   40.275107  68.828260
659   40.283700  69.025327
189   40.295017  68.822489
1086  40.297078  69.239479
507   40.303582  67.963220
206   40.308373  67.964695
303   40.316425  69.244818
435   40.316806  68.092017
322   40.345427  69.239466
227   40.348647  68.185532
783   40.359772  68.962160
1061  40.366558  69.251945
475   40.371481  69.254196
174   40.401259  69.234936
1382  40.408491  68.887543
616   40.410346  68.787627
836   40.414947  68.002081
1115  40.427094  69.227849
1060  40.443005  68.826616
1116  40.443097  68.240233
617   40.445872  68.892492
66    40.447976  68.776138
1238  40.458616  68.258545
404   40.465309  68.771832
175   40.468867  65.553520
1006  40.471694  68.274472
1336  40.481572  68.776739
209   40.485829  68.777159
267   40.488815  68.744981
533   40.489270  68.737333
613   40.491055  68.707813
1075  40.491621  68.776609
491   40.491708  68.840558
1031  40.492147  69.212107
102   40.492777  68.782871
324   40.493318  68.786909
168   40.493928  68.804176
1267  40.495370  68.775413
330   40.497815  68.763633
1365  40.498172  68.592807
289   40.498939  68.774265
1041  40.499740  68.567520
1332  40.499980  68.762678
461   40.500167  68.559556
1307  40.500194  68.733946
800   40.502293  65.950928
1145  40.504397  68.772691
625   40.505127  65.569725
1325  40.505946  68.550207
596   40.507043  68.754342
578   40.509257  68.766577
220   40.509553  68.769612
505   40.509994  68.770988
296   40.512976  68.781382
84    40.514487  68.785385
261   40.516730  68.769009
762   40.518889  68.757222
1001  40.520048  68.762996
1013  40.525891  69.025101
1025  40.530078  69.031425
908   40.530459  69.032345
734   40.539606  68.422470
658   40.542906  68.749723
634   40.551020  68.401225
589   40.552793  68.746664
792   40.556770  68.745567
239   40.568950  68.629496
1381  40.574556  65.475266
1358  40.578677  68.325677
492   40.581083  68.661981
805   40.603222  68.731308
1215  40.607992  69.211223
929   40.626572  65.727468
709   40.636246  68.721027
41    40.698178  68.976938
396   40.704273  68.846324
820   40.706223  69.212024
361   40.707941  68.846860
253   40.710263  68.698452
283   40.714673  68.711182
131   40.716353  69.054857
1072  40.724076  69.105708
349   40.734875  69.126450
1375  40.746251  69.144102
689   40.748329  69.210392
642   40.771328  68.682245
277   40.782445  69.209455
976   40.788989  66.006203
382   40.794599  69.203348
466   40.811848  69.233620
765   40.814935  68.674702
676   40.815323  69.203667
984   40.820018  68.666804
696   40.822883  69.210331
597   40.831186  68.665701
645   40.837158  68.663894
97    40.839838  69.234480
1070  40.840348  68.662679
891   40.844633  69.581700
468   40.845902  69.616865
272   40.846836  69.604518
813   40.852535  69.320397
1204  40.855216  68.931802
1348  40.861950  69.266108
57    40.862381  69.465420
1338  40.862668  69.437548
343   40.867116  69.397075
1263  40.867129  69.584896
1248  40.867401  69.559665
669   40.867483  69.491664
881   40.869650  69.348084
1270  40.875175  69.285334
1040  40.880952  69.040069
1202  40.885824  69.047412
357   40.888507  69.049717
143   40.892292  69.593736
32    40.898165  69.351369
718   40.898909  69.691584
96    40.901601  69.649836
804   40.901928  69.281597
295   40.901995  69.712030
764   40.903064  69.094714
591   40.907396  69.740092
1226  40.907761  69.798465
455   40.908267  69.768321
186   40.909125  69.758158
353   40.909638  68.713982
1153  40.909650  68.710730
34    40.911346  69.009957
647   40.912680  69.613918
269   40.913733  69.823066
694   40.914358  69.609345
1089  40.916527  69.017672
46    40.920582  69.269490
1361  40.926997  69.568282
599   40.929817  69.863303
970   40.930844  68.755751
1138  40.931639  69.593000
1021  40.932338  69.573113
88    40.934596  68.762360
284   40.936463  68.764399
525   40.938348  69.897761
426   40.948627  69.910188
1012  40.949033  68.745415
193   40.954757  69.565242
1309  40.958707  68.764547
265   40.958829  69.165111
1083  40.959116  69.277365
1290  40.960120  68.848900
540   40.961359  69.944969
991   40.963240  68.855158
571   40.967763  69.973342
546   40.973610  69.545508
912   40.975611  69.369952
249   40.978085  68.889154
379   40.981409  69.288580
1114  40.983424  69.047973
918   40.987106  69.201355
228   40.990287  69.533849
1155  40.994529  69.052347
94    40.995923  69.432435
1234  41.002461  69.231868
362   41.005360  69.408360
721   41.010066  68.837090
198   41.011612  69.310575
1168  41.011940  69.362551
872   41.015079  69.047205
83    41.015650  69.045013
806   41.017506  68.940811
887   41.023264  68.951369
233   41.024353  69.509946
1232  41.026978  69.345075
91    41.030729  69.028850
212   41.038599  69.027066
752   41.039936  68.880119
345   41.040545  69.322295
457   41.042280  69.496978
1085  41.046171  69.356329
1119  41.048241  69.375736
374   41.060318  69.347868
531   41.060516  69.389383
386   41.062632  69.331098
71    41.065039  68.916234
463   41.074907  69.473890
290   41.085857  68.945818
61    41.099486  69.408577
982   41.099782  69.056910
127   41.103779  69.044321
395   41.106343  68.974985
751   41.107284  69.321113
203   41.108360  69.048699
719   41.108686  68.978118
824   41.115067  69.055599
781   41.115520  69.055888
328   41.116970  69.053528
1228  41.122474  69.062407
363   41.125276  69.042989
962   41.125322  69.318980
428   41.126665  69.066770
1187  41.137371  69.398245
614   41.138272  69.318252
710   41.143262  69.088679
234   41.154904  69.424258
1042  41.164878  69.124037
1009  41.164926  69.327454
1063  41.166010  69.250052
530   41.180668  69.200500
816   41.181417  69.406945
286   41.182282  69.329775
425   41.185784  69.144211
1197  41.196560  69.155555
434   41.200413  69.107135
1082  41.203363  69.224600
1200  41.204072  69.231524
1088  41.205359  69.333085
341   41.205580  69.220230
1291  41.206197  69.332905
331   41.208080  69.226881
1220  41.208797  69.198722
385   41.209813  69.230819
569   41.209929  69.120683
1185  41.209983  69.231747
711   41.210604  69.343809
319   41.211417  69.230398
126   41.211832  69.223369
643   41.212599  69.238395
497   41.213595  69.726160
519   41.213782  69.240577
77    41.214181  69.228297
60    41.216211  69.334367
6     41.216659  69.402663
394   41.217148  69.219017
251   41.217845  69.239494
477   41.219134  69.224438
1130  41.220303  69.202996
42    41.221188  69.359432
825   41.221990  69.222697
1181  41.222018  69.222662
69    41.224703  69.289869
146   41.225708  69.178968
136   41.226667  69.218831
860   41.227344  69.196805
655   41.228218  69.125640
130   41.228608  69.335837
1137  41.229509  69.217982
65    41.230476  69.270139
769   41.231284  69.184848
59    41.231360  69.216877
1057  41.231980  69.375730
250   41.232896  69.334967
927   41.232948  69.508110
216   41.233813  69.215377
707   41.234939  69.208677
677   41.235221  69.332644
213   41.235430  69.350729
637   41.236235  69.331841
187   41.236396  69.331866
704   41.236428  69.188921
1316  41.237632  69.322395
830   41.237728  69.322207
870   41.239016  69.211210
822   41.239171  69.387674
812   41.239726  69.195392
81    41.239864  69.388231
1019  41.240857  69.170277
451   41.240875  69.170280
559   41.241738  69.217034
539   41.241902  69.349626
683   41.242715  69.483773
746   41.243962  69.224148
1158  41.244123  69.284861
201   41.244179  69.231879
171   41.244251  69.310379
30    41.244260  69.263778
176   41.244270  69.289560
581   41.244289  69.250045
1071  41.244521  69.277460
23    41.244566  69.272779
1146  41.244619  69.256175
1131  41.244625  69.250543
580   41.244704  69.202323
501   41.245103  69.301557
923   41.245247  69.217989
408   41.246576  69.756113
107   41.248364  69.209187
607   41.248560  69.217768
1326  41.248801  69.164700
745   41.248982  69.366303
1236  41.249230  69.301659
271   41.250938  69.254587
849   41.251346  69.370082
847   41.251984  69.154106
1124  41.252380  69.356330
1032  41.252684  69.322559
55    41.253329  69.217028
259   41.253517  69.160046
1062  41.254346  69.195373
1126  41.254462  69.197839
1008  41.254468  69.196754
953   41.254721  69.411318
1030  41.255070  69.375234
1038  41.255165  69.156716
1046  41.255223  69.206624
1362  41.255761  69.192026
714   41.256804  69.193059
999   41.257576  69.194193
1320  41.257859  69.379280
896   41.258081  69.152444
914   41.259520  69.318525
93    41.259670  69.196292
1022  41.259677  69.196150
1230  41.259731  69.186124
1037  41.259812  69.161789
833   41.259823  69.254986
672   41.259915  69.180933
39    41.259950  69.188141
523   41.260447  69.361976
1211  41.260477  69.173382
527   41.260599  69.205611
600   41.261117  69.149067
1159  41.262060  69.317215
1206  41.262313  69.197541
856   41.262645  69.265336
1344  41.262663  69.182886
1237  41.262928  69.265960
182   41.263039  69.229035
56    41.263055  69.222852
504   41.263200  69.266562
373   41.263676  69.258070
230   41.263930  69.179754
653   41.264104  69.207524
1064  41.264272  69.188697
1351  41.264719  69.364561
675   41.264721  69.188699
173   41.264951  69.267400
1298  41.265194  69.315052
292   41.265303  69.266398
437   41.265511  69.160354
1184  41.265730  69.267636
1373  41.265831  69.314776
753   41.265833  69.315302
1003  41.265835  69.231839
579   41.265883  69.246000
790   41.266649  69.367870
1364  41.266771  69.267306
978   41.266773  69.174428
771   41.267091  69.249518
712   41.267254  69.216151
974   41.267530  69.173846
1053  41.267803  69.268250
270   41.267923  69.182249
433   41.268067  69.246028
1335  41.268316  69.252212
678   41.268380  69.296357
195   41.268515  69.365602
184   41.268707  69.321878
63    41.269240  69.351123
262   41.269278  69.365115
1179  41.269747  69.276142
390   41.270002  69.263322
1171  41.270095  69.146943
1002  41.270172  69.146868
1149  41.270236  69.301626
1349  41.270300  69.264668
95    41.270485  69.230696
1101  41.270521  69.302938
750   41.270787  69.363443
1340  41.271469  69.177280
192   41.271681  69.306452
802   41.272087  69.436930
1207  41.272096  69.279591
20    41.272608  69.294570
601   41.272835  69.362037
98    41.272883  69.140840
429   41.273077  69.310626
1385  41.273287  69.206917
1094  41.273546  69.277942
1160  41.273895  69.187594
943   41.273995  69.204029
661   41.274024  69.240978
106   41.274043  69.354425
29    41.274383  69.204864
888   41.274607  69.204480
1000  41.274650  69.190549
1176  41.275071  69.168177
861   41.275112  69.300276
278   41.276281  69.308821
325   41.276809  69.172268
889   41.277139  69.215685
722   41.277312  69.287723
1297  41.277489  69.200067
682   41.277837  69.340299
795   41.278081  69.286265
1027  41.278215  69.321817
692   41.278564  69.341754
853   41.278719  69.198039
1024  41.278918  69.177744
375   41.279126  69.324274
592   41.279760  69.306043
626   41.280217  69.242095
1288  41.280278  69.190090
831   41.280320  69.195565
846   41.280337  69.153156
118   41.280430  69.199807
698   41.280677  69.361212
537   41.280967  69.194525
450   41.281258  69.240735
1259  41.281338  69.249097
1241  41.281618  69.276165
310   41.281647  69.180807
1194  41.281750  69.275787
22    41.281820  61.226295
605   41.281836  69.350435
399   41.282031  69.192889
246   41.282779  69.223031
43    41.282813  69.237979
1350  41.282852  69.164358
735   41.283426  69.339776
122   41.284086  69.224570
279   41.284121  69.265139
945   41.284124  69.189711
949   41.284184  69.189292
148   41.284367  69.194761
754   41.284413  69.360163
1210  41.284870  69.291229
827   41.285166  69.165312
381   41.285168  69.333388
62    41.285173  69.170852
304   41.285629  69.253880
352   41.285756  69.690038
770   41.285804  69.345669
275   41.285813  69.303638
469   41.285833  69.347095
726   41.286031  69.303946
1286  41.286199  69.346480
1193  41.286335  69.346117
941   41.286638  69.185675
1173  41.286643  69.194451
747   41.287107  69.243213
510   41.287204  69.166024
326   41.287223  69.524791
871   41.287573  69.349038
1255  41.288928  69.252256
347   41.289050  69.182001
149   41.289141  69.201941
845   41.289231  69.189137
231   41.289669  69.251550
895   41.290013  69.180885
1378  41.290279  69.149915
512   41.290738  69.350915
1305  41.290745  69.339340
1096  41.291113  69.327873
564   41.291286  69.284340
7     41.291506  69.179454
671   41.291755  69.223813
9     41.292149  69.339799
1180  41.292194  69.261764
1045  41.292376  69.285975
1283  41.292443  69.286238
1135  41.292603  69.212158
312   41.292996  69.263699
1113  41.293124  69.213049
305   41.293245  69.287600
315   41.293373  69.356001
285   41.293802  69.454865
1023  41.293820  69.189533
1074  41.293910  69.340337
723   41.293966  69.679903
1010  41.293993  69.289065
1357  41.294083  69.226324
901   41.294404  69.320544
1099  41.294525  69.226148
779   41.294569  69.266682
204   41.294869  69.342520
336   41.295096  69.164368
842   41.295344  69.176688
427   41.295653  69.227240
615   41.296268  69.276346
1172  41.296469  69.364033
532   41.297178  69.170102
244   41.297287  69.278072
180   41.297585  69.663091
736   41.297591  69.214764
798   41.297844  69.278927
313   41.298084  69.182647
803   41.298320  69.259000
1242  41.298350  69.174077
1391  41.298408  69.249863
1324  41.298542  69.207723
631   41.298562  69.194025
388   41.298720  69.235368
1265  41.299076  69.280901
612   41.299275  69.195526
317   41.299598  69.267858
311   41.299627  69.167210
1313  41.299967  69.282223
547   41.299982  69.249371
243   41.300100  61.126395
699   41.300199  69.228655
218   41.302262  69.263987
567   41.302453  69.641769
1363  41.302475  69.288576
708   41.302492  69.171735
422   41.302693  69.634770
33    41.303014  69.171791
338   41.303039  69.655319
593   41.303215  69.163641
1081  41.303233  69.279559
577   41.303525  69.181192
1134  41.303683  69.194032
369   41.303959  69.214117
247   41.303968  69.321824
117   41.304224  69.247123
791   41.304537  69.281687
666   41.304617  61.113959
1390  41.304986  69.208267
100   41.305133  69.330920
147   41.305181  69.157800
150   41.305246  69.602556
1093  41.305408  69.257812
586   41.305919  69.162270
826   41.305971  69.143809
590   41.306736  69.138955
1196  41.306871  69.134630
241   41.308132  69.562908
64    41.308257  69.168244
1323  41.308321  69.303007
549   41.308357  69.285461
339   41.308601  69.164722
1246  41.309206  69.167382
983   41.309456  69.304735
778   41.309624  69.242528
959   41.309723  69.221792
1118  41.309773  69.221727
256   41.310970  69.176048
582   41.311138  69.153004
794   41.311747  69.291747
1066  41.312064  69.541043
47    41.312211  69.178620
515   41.312269  69.242445
436   41.312685  69.159454
938   41.313224  69.535884
87    41.313419  69.522904
242   41.313463  69.226097
763   41.313708  69.531665
405   41.313918  69.236945
850   41.314258  69.526836
1157  41.314653  69.253805
700   41.314720  69.186636
232   41.314748  69.295509
1266  41.315149  69.517832
472   41.315360  69.163020
398   41.315485  69.315733
1143  41.315520  69.154889
161   41.315626  69.163575
1132  41.315729  69.193133
255   41.315907  69.472141
1299  41.316153  69.253612
31    41.316353  69.193073
1035  41.316843  69.511917
823   41.316847  69.210213
936   41.316933  69.532048
1151  41.317279  69.230648
414   41.317704  69.338955
1371  41.318068  69.252915
197   41.318740  69.228406
452   41.318893  69.196333
703   41.319145  69.318553
1128  41.319276  69.327390
848   41.320038  69.521308
